page_number,winner,winning_club,loser,losing_club,cup,stage,boatclass,winner_station,time,date,barrier_time,barrier_loser_leading,fawley_time,fawley_loser_leading,finish_time,verdict
1,Oxford Brookes University 'A',Oxford Brookes University,Oxford Brookes University 'B',Oxford Brookes University,The Prince Albert Challenge Cup,final,M4+,Station 1 - Berks,16:30,2024-07-07,123.0,False,209.0,False,433.0,4.5 lengths
1,Oxford Brookes University,Oxford Brookes University,Leander Club,Leander Club,The Stewards' Challenge Cup,final,M4,Station 1 - Berks,16:20,2024-07-07,119.0,True,199.0,False,410.0,2 lengths
1,Wycliffe College 'A',Wycliffe College,Marlow Rowing Club,Marlow Rowing Club,The Diamond Jubilee Challenge Cup,final,W4,Station 1 - Berks,16:10,2024-07-07,131.0,False,223.0,False,471.0,4 lengths
1,Oxford Brookes University 'A',Oxford Brookes University,"Princeton University 'A', U.S.A.","Princeton University, U.S.A.",The Temple Challenge Cup,final,M8+,Station 2 - Bucks,16:00,2024-07-07,110.0,True,186.0,False,385.0,1 lengths
1,"R. Liu, Shanghai Jiao Tong University, China","R. Liu, Shanghai Jiao Tong University, China","C.M. Madden, Cambridge Boat Club, U.S.A.","C.M. Madden, Cambridge Boat Club, U.S.A.",The Princess Royal Challenge Cup,final,W1,Station 2 - Bucks,15:50,2024-07-07,157.0,False,265.0,False,554.0,3.25 lengths
1,Leander Club,Leander Club,"Algemene Amsterdamsche Studenten Roeivereniging Skøll, Netherlands","Algemene Amsterdamsche Studenten Roeivereniging Skøll, Netherlands",The Prince of Wales Challenge Cup,final,M4,Station 2 - Bucks,15:40,2024-07-07,120.0,False,203.0,False,421.0,1 lengths
1,Oxford Brookes University,Oxford Brookes University,"Princeton Training Center and Advanced Rowing Initiative of the Northeast, U.S.A.","Princeton Training Center and Advanced Rowing Initiative of the Northeast, U.S.A.",The Remenham Challenge Cup,final,W8+,Station 2 - Bucks,15:30,2024-07-07,128.0,False,213.0,False,439.0,0.5 lengths
1,"N. Van Sprang & G. Krommenhoek, Hollandia Roeiclub, Netherlands","N. Van Sprang & G. Krommenhoek, Hollandia Roeiclub, Netherlands","R.D. Schmela & T. Hagemeister, Berliner Ruderclub and Frankfurter Rudergesellschaft Germania 1869 e.V., Germany","R.D. Schmela & T. Hagemeister, Berliner Ruderclub and Frankfurter Rudergesellschaft Germania 1869 e.V., Germany",The Silver Goblets & Nickalls' Challenge Cup,final,M2-,Station 1 - Berks,15:20,2024-07-07,137.0,False,230.0,False,471.0,easily
1,"Shawnigan Lake School, Canada","Shawnigan Lake School, Canada","Lausanne-Sports Aviron, Switzerland and Shawnigan Lake School, Canada","Lausanne-Sports Aviron, Switzerland and Shawnigan Lake School, Canada",The Princess Grace Challenge Cup,final,W4,Station 2 - Bucks,15:10,2024-07-07,135.0,False,229.0,False,469.0,0.75 lengths
1,St. Paul's School,St. Paul's School,Shiplake College,Shiplake College,The Princess Elizabeth Challenge Cup,final,M8+,Station 2 - Bucks,15:00,2024-07-07,116.0,False,196.0,False,406.0,0.75 lengths
1,Oxford Brookes University 'A',Oxford Brookes University,Newcastle University,Newcastle University,The Island Challenge Cup,final,W8+,Station 1 - Berks,13:00,2024-07-07,125.0,False,211.0,False,443.0,2.25 lengths
1,Leander Club,Leander Club,"Ruder-Klub Normannia Braunschweig e.V. and Sportclub Magdeburg e.V. Abteilung Rudern, Germany","Ruder-Klub Normannia Braunschweig e.V. and Sportclub Magdeburg e.V. Abteilung Rudern, Germany",The Queen Mother Challenge Cup,final,M4,Station 2 - Bucks,12:50,2024-07-07,116.0,True,194.0,False,401.0,0.66 lengths
1,Headington School,Headington School,"RowAmerica Rye, U.S.A.","RowAmerica Rye, U.S.A.",The Prince Philip Challenge Trophy,final,W8+,Station 1 - Berks,12:40,2024-07-07,132.0,False,221.0,False,456.0,2 lengths
1,Leander Club 'A',Leander Club,Oxford Brookes University and Taurus Boat Club,Oxford Brookes University and Taurus Boat Club,The Visitors' Challenge Cup,final,M4,Station 1 - Berks,12:30,2024-07-07,117.0,False,197.0,False,404.0,1 lengths
1,Oxford Brookes University and Taurus Boat Club,Oxford Brookes University and Taurus Boat Club,"University of Washington, U.S.A.","University of Washington, U.S.A.",The Grand Challenge Cup,final,M8+,Station 1 - Berks,12:20,2024-07-07,109.0,False,183.0,False,385.0,3.75 lengths
1,"O. Zeidler, Frankfurter Rudergesellschaft Germania 1869 e.V., Germany","O. Zeidler, Frankfurter Rudergesellschaft Germania 1869 e.V., Germany","J. Plihal, Craftsbury Green Racing Project, U.S.A.","J. Plihal, Craftsbury Green Racing Project, U.S.A.",The Diamond Challenge Sculls,final,M1,Station 1 - Berks,12:10,2024-07-07,130.0,False,224.0,False,469.0,easily
1,Thames Rowing Club 'A',Thames Rowing Club,"Koninklijke Amsterdamsche Roei- en Zeilvereeniging 'De Hoop', Netherlands","Koninklijke Amsterdamsche Roei- en Zeilvereeniging 'De Hoop', Netherlands",The Thames Challenge Cup,final,M8+,Station 2 - Bucks,12:00,2024-07-07,110.0,False,185.0,False,383.0,0.66 lengths
1,"S. Wibberenz & L. Gutfleisch, Ruder-Club-Havel Brandenburg e.V. and Heidelberger Ruderklub 1872 e.V., Germany","S. Wibberenz & L. Gutfleisch, Ruder-Club-Havel Brandenburg e.V. and Heidelberger Ruderklub 1872 e.V., Germany","J.R. Bates & F.B. Keto, Oxford Brookes University and Thames Rowing Club","J.R. Bates & F.B. Keto, Oxford Brookes University and Thames Rowing Club",The Stonor Challenge Trophy,final,W2,Station 1 - Berks,11:50,2024-07-07,141.0,False,240.0,False,500.0,3.75 lengths
1,"Princeton University, U.S.A.","Princeton University, U.S.A.",Cambridge University,Cambridge University,The Ladies' Challenge Plate,final,M8+,Station 1 - Berks,11:40,2024-07-07,108.0,False,184.0,False,384.0,2.75 lengths
1,"E.M. Cornelis & J.P. Cornut-Danjou, Club France, France","E.M. Cornelis & J.P. Cornut-Danjou, Club France, France","A.A. Cronk & K.A. Edwards, Rowing Canada, Canada","A.A. Cronk & K.A. Edwards, Rowing Canada, Canada",The Hambleden Pairs Challenge Cup,final,W2,Station 1 - Berks,11:30,2024-07-07,148.0,False,252.0,False,522.0,1.75 lengths
2,"Rowing Canada 'A', Canada","Rowing Canada, Canada",Leander Club 'A',Leander Club,The Town Challenge Cup,final,W4,Station 2 - Bucks,11:20,2024-07-07,135.0,True,228.0,False,472.0,0.75 lengths
2,Marlow Rowing Club,Marlow Rowing Club,Thames Rowing Club 'A',Thames Rowing Club,The Wyfold Challenge Cup,final,M4,Station 1 - Berks,11:10,2024-07-07,122.0,True,209.0,False,426.0,easily
2,"J. Gare & C. Dafydd, Leander Club","J. Gare & C. Dafydd, Leander Club","C.M. Cunningham & C.C. Fuller, Penn Athletic Club Rowing Association and Saugatuck Rowing Club, U.S.A.","C.M. Cunningham & C.C. Fuller, Penn Athletic Club Rowing Association and Saugatuck Rowing Club, U.S.A.",The Double Sculls Challenge Cup,final,M2,Station 1 - Berks,11:00,2024-07-07,124.0,False,210.0,False,445.0,2 lengths
2,Thames Rowing Club 'A',Thames Rowing Club,London Rowing Club 'A',London Rowing Club,The Wargrave Challenge Cup,final,W8+,Station 1 - Berks,10:50,2024-07-07,125.0,False,211.0,False,437.0,4.5 lengths
2,The Windsor Boys' School,The Windsor Boys' School,Marlow Rowing Club,Marlow Rowing Club,The Fawley Challenge Cup,final,M4,Station 1 - Berks,10:40,2024-07-07,121.0,False,205.0,False,418.0,2.75 lengths
2,Thames Rowing Club,Thames Rowing Club,Royal Chester Rowing Club,Royal Chester Rowing Club,The Britannia Challenge Cup,final,M4+,Station 1 - Berks,10:30,2024-07-07,129.0,False,218.0,False,447.0,1 lengths
2,Oxford Brookes University 'A',Oxford Brookes University,"Harvard University, U.S.A.","Harvard University, U.S.A.",The Temple Challenge Cup,semi-final,M8+,Station 1 - Berks,20:10,2024-07-06,112.0,False,190.0,False,403.0,1.75 lengths
2,Wycliffe College 'A',Wycliffe College,Wycliffe College 'B',Wycliffe College,The Diamond Jubilee Challenge Cup,semi-final,W4,Station 1 - Berks,20:00,2024-07-06,139.0,False,237.0,False,515.0,3.25 lengths
